Pos,Title,Director,Year,Country,Length,Genre,Colour
209,Unforgiven,"Eastwood, Clint",1992,USA,127,Western,Col
210,"Cabinet of Dr. Caligari, The","Wiene, Robert",1920,Germany,69,Horror-Fantasy,BW
211,Red River,"Hawks, Howard",1948,USA,133,Western,BW
212,"Big Lebowski, The","Coen, Joel & Ethan Coen",1998,USA-UK,113,Comedy-Crime,Col
213,Celine and Julie Go Boating,"Rivette, Jacques",1974,France,192,Fantasy-Drama-Avant-Garde,Col
214,Ran,"Kurosawa, Akira",1985,France-Japan,161,War-History-Drama,Col
215,Sweet Smell of Success,"Mackendrick, Alexander",1957,USA,96,Drama,BW
216,Caché,"Haneke, Michael",2005,France-Austria-Germany-Italy-USA,117,Thriller-Drama,Col
217,"Graduate, The","Nichols, Mike",1967,USA,105,Romance-Drama-Comedy,Col
218,Wings of Desire,"Wenders, Wim",1987,West Germany-France,130,Fantasy-Drama,Col-BW
219,Performance,"Roeg, Nicolas/Donald Cammell",1970,UK,105,Drama,Col
220,"Ivan the Terrible, Part 2","Eisenstein, Sergei",1946,USSR,88,History-Drama-Biography,Col-BW
221,Tropical Malady,"Weerasethakul, Apichatpong",2004,Thailand-France-Germany-Italy,118,Drama-Fantasy-Romance,Col
222,"Quiet Man, The","Ford, John",1952,USA,129,Romance-Drama-Comedy,Col
223,Schindler's List,"Spielberg, Steven",1993,USA,195,War-History-Drama,Col-BW
224,"Best Years of Our Lives, The","Wyler, William",1946,USA,172,War-Drama,BW
225,Only Angels Have Wings,"Hawks, Howard",1939,USA,121,Drama-Adventure-Romance,BW
226,Ashes and Diamonds,"Wajda, Andrzej",1958,Poland,96,War-Drama-Political,BW
227,My Neighbour Totoro,"Miyazaki, Hayao",1988,Japan,86,Fantasy-Family-Animated,Col
228,Paths of Glory,"Kubrick, Stanley",1957,USA,86,War-Drama,BW
229,"Notte, La","Antonioni, Michelangelo",1961,Italy-France,120,Drama,BW
230,"Band Wagon, The","Minnelli, Vincente",1953,USA,112,Musical-Dance-Comedy,Col
231,Wavelength,"Snow, Michael",1967,Canada-USA,45,Avant-Garde,Col
232,Groundhog Day,"Ramis, Harold",1993,USA,103,Romance-Fantasy-Comedy,Col
233,Diary of a Country Priest,"Bresson, Robert",1951,France,120,Religious-Drama,BW
234,Kind Hearts and Coronets,"Hamer, Robert",1949,UK,104,Comedy,BW
235,Nanook of the North,"Flaherty, Robert",1922,USA,79,Documentary,BW
236,"Treasure of the Sierra Madre, The","Huston, John",1948,USA,124,Adventure-Drama-Western,BW
237,Night of the Living Dead,"Romero, George A.",1968,USA,96,Horror,BW
238,Zero for Conduct,"Vigo, Jean",1933,France,41,Short-Drama,BW
239,Cléo from 5 to 7,"Varda, Agnès",1962,France,90,Drama,BW
240,"Germany, Year Zero","Rossellini, Roberto",1948,Italy-West Germany,74,War-Drama,BW
241,"Paris, Texas","Wenders, Wim",1984,USA,150,Drama,Col
242,Sullivan's Travels,"Sturges, Preston",1941,USA,91,Romance-Comedy,BW
243,Bonnie and Clyde,"Penn, Arthur",1967,USA,111,Drama-Crime-Biography,Col
244,"Thing, The","Carpenter, John",1982,USA,108,Science Fiction-Action-Horror,Col
245,F for Fake,"Welles, Orson",1973,France-Iran-West Germany,85,Documentary-Avant-Garde,Col
246,Johnny Guitar,"Ray, Nicholas",1954,USA,110,Western,Col
247,Meet Me in St. Louis,"Minnelli, Vincente",1944,USA,113,Musical-Family-Drama,Col
248,"Crowd, The","Vidor, King",1928,USA,104,Drama,BW
249,"Colour of Pomegranates, The","Parajanov, Sergei",1969,USSR,73,History-Avant-Garde,Col
250,Two or Three Things I Know About Her,"Godard, Jean-Luc",1966,France,87,Drama,Col
251,"Ivan the Terrible, Part 1","Eisenstein, Sergei",1944,USSR,96,History-Drama-Biography,BW
252,Magnolia,"Anderson, Paul Thomas",1999,USA,188,Drama,Col-BW
253,Mr. Hulot's Holiday,"Tati, Jacques",1953,France,86,Comedy,BW
254,Tabu,"Murnau, F.W.",1931,USA,82,Romance-Drama-Adventure,BW
255,"Shop Around the Corner, The","Lubitsch, Ernst",1940,USA,97,Romance-Comedy,BW
256,Uncle Boonmee Who Can Recall His Past Lives,"Weerasethakul, Apichatpong",2010,Thailand-UK-France-Germany-Spain-Netherlands,113,Drama-Fantasy,Col
257,Floating Clouds,"Naruse, Mikio",1955,Japan,123,Romance-Drama,BW
258,"Maltese Falcon, The","Huston, John",1941,USA,100,Mystery,BW
259,Memories of Underdevelopment,"Gutiérrez Alea, Tomás",1968,Cuba,97,Political-Romance-Drama,BW
260,"Life of Oharu, The","Mizoguchi, Kenji",1952,Japan,146,Drama,BW
261,My Night at Maud's,"Rohmer, Eric",1969,France,105,Romance-Drama,BW
262,Faces,"Cassavetes, John",1968,USA,130,Drama,BW
263,"Thin Blue Line, The","Morris, Errol",1988,USA,96,Documentary,Col
264,Freaks,"Browning, Tod",1932,USA,64,Horror-Drama,BW
265,"Verdugo, El","García Berlanga, Luis",1963,Spain-Italy,90,Drama-Comedy,BW
266,Day of Wrath,"Dreyer, Carl Theodor",1943,Denmark,110,Drama,BW
267,Cinema Paradiso,"Tornatore, Giuseppe",1988,Italy-France,123,Drama-Comedy,Col
268,Eraserhead,"Lynch, David",1977,USA,85,Horror-Fantasy-Science Fiction,BW
269,"Belle et la bête, La","Cocteau, Jean",1946,France,95,Fantasy,BW
270,Mean Streets,"Scorsese, Martin",1973,USA,110,Drama-Crime,Col
271,"Distant Voices, Still Lives","Davies, Terence",1988,UK,85,Drama,Col
272,"Story of the Last Chrysanthemums, The","Mizoguchi, Kenji",1939,Japan,148,Romance-Drama,BW
273,Three Colours: Red,"Kieslowski, Krzysztof",1994,France-Switzerland-Poland,99,Drama,Col
274,In a Lonely Place,"Ray, Nicholas",1950,USA,91,Drama-Mystery-Romance,BW
275,Broken Blossoms,"Griffith, D.W.",1919,USA,90,Romance-Drama,BW
276,Meshes of the Afternoon,"Deren, Maya & Alexander Hammid",1943,USA,15,Short-Avant-Garde-Fantasy,BW
277,Kings of the Road,"Wenders, Wim",1976,West Germany,175,Drama,BW
278,Love Streams,"Cassavetes, John",1984,USA,141,Drama,Col
279,City of God,"Meirelles, Fernando & Kátia Lund",2002,Brazil-Germany-France,129,Drama-Crime-Action,Col
280,Throne of Blood,"Kurosawa, Akira",1957,Japan,108,War-Drama,BW
281,Eyes Wide Shut,"Kubrick, Stanley",1999,USA-UK,159,Thriller-Drama,Col
282,Peeping Tom,"Powell, Michael",1960,UK,109,Thriller-Drama,Col
283,"Empire Strikes Back, The","Kershner, Irvin",1980,USA,124,Science Fiction-Fantasy-Adventure,Col
284,Three Colours: Blue,"Kieslowski, Krzysztof",1993,France-Poland-Switzerland,100,Drama,Col
285,Holy Motors,"Carax, Leos",2012,France-Germany,115,Drama-Fantasy,Col
286,Dog Day Afternoon,"Lumet, Sidney",1975,USA,125,Drama-Crime,Col
287,"Wages of Fear, The","Clouzot, Henri-Georges",1953,France-Italy,105,Thriller-Adventure-Action,BW
288,"Autumn Afternoon, An","Ozu, Yasujiro",1962,Japan,115,Drama,Col
289,Pandora's Box,"Pabst, G.W.",1929,Germany,133,Drama-Crime-Romance,BW
290,Back to the Future,"Zemeckis, Robert",1985,USA,116,Science Fiction-Comedy,Col
291,"Matrix, The","Wachowski, Lana & Lilly Wachowski",1999,USA-Australia,136,Science Fiction-Action-Adventure,Col
292,Daisies,"Chytilová, Vera",1966,Czechoslovakia,76,Drama-Comedy-Avant Garde,Col-BW
293,"Music Room, The","Ray, Satyajit",1958,India,95,Drama,BW
294,Underground,"Kusturica, Emir",1995,Yugoslavia-France-Germany-Bulgaria-Czech Republic-Hungary,192,War-Drama-Comedy,Col
295,Monsieur Verdoux,"Chaplin, Charles",1947,USA,123,Crime-Comedy,BW
296,Videodrome,"Cronenberg, David",1983,Canada,90,Horror-Science Fiction,Col
297,Where is the Friend's Home?,"Kiarostami, Abbas",1987,Iran,85,Drama,Col
298,Crimes and Misdemeanors,"Allen, Woody",1989,USA,104,Drama-Comedy,Col
299,Husbands,"Cassavetes, John",1970,USA,138,Drama,Col
300,Wanda,"Loden, Barbara",1970,USA,105,Drama-Crime,Col
301,Killer of Sheep,"Burnett, Charles",1977,USA,83,Drama,BW
302,"Big Sleep, The","Hawks, Howard",1946,USA,114,Mystery-Crime,BW
303,This is Spinal Tap,"Reiner, Rob",1984,USA,82,Comedy-Musical,Col
304,"Birth of a Nation, The","Griffith, D.W.",1915,USA,187,War-History-Drama,BW
305,Touki Bouki,"Mambéty, Djibril Diop",1973,Senegal,85,Drama,Col
306,"Kid, The","Chaplin, Charles",1921,USA,60,Drama-Comedy-Family,BW
307,Red Desert,"Antonioni, Michelangelo",1964,Italy-France,118,Drama,Col
308,Terra em Transe,"Rocha, Glauber",1967,Brazil,106,Drama-Political,BW
309,"Last Picture Show, The","Bogdanovich, Peter",1971,USA,118,Drama,BW
310,Dawn of the Dead,"Romero, George A.",1978,USA,126,Horror-Action,Col
311,Eyes Without a Face,"Franju, Georges",1960,France-Italy,88,Horror-Drama-Thriller,BW
312,"Green Ray, The","Rohmer, Eric",1986,France,99,Romance-Drama,Col
313,All About My Mother,"Almodóvar, Pedro",1999,Spain-France,101,Drama-Comedy,Col
314,Week-End,"Godard, Jean-Luc",1967,France-Italy,103,Drama,Col
